asn,ip,bgp_prefix,country,registry,allocated,as_name
278,2001:1218:2000:2e0::231,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::232,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::234,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::235,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::236,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::25,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::26,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::281,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::29,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::291,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::292,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::6c,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::6d,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::6e,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::71,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::72,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::81,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::82,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::88,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::89,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::8a,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::a5,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::a8,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::a9,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::e1,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2f0::,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2f0::19,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2f0::1a,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2f0::4,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2f0::6,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2f0::a0,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
